id,name,description,condition,flag_level,risk_increment,is_active,created_at,updated_at
b13f7247-3861-4ec1-b128-ce2dc9ac5bf2,Suspicious Spike in Sum 90d,Rule to detect suspicious spike in sum 90d,uts.sum_90d > 350000 AND uts.sum_60d < 100000,Low,1.948,TRUE,2025-06-18 12:32:31.960227,2025-06-18 12:29:55.388626
cb13dcc2-639c-4cf5-a2db-9e889c3f5dcc,Large Count Low Avg 60d,Rule to detect large count low avg 60d,uts.trans_count_60d > 120 AND uts.avg_60d < 1000,Medium,1.706,TRUE,2025-06-18 12:32:31.960582,2025-06-18 12:29:55.388627
9b58badf-c219-42d5-982a-e240108791dc,High Volume Recent Activity,Rule to detect high volume recent activity,uts.sum_15d + uts.sum_30d > 300000 AND uts.trans_count_15d > 50,High,1.338,TRUE,2025-06-18 12:32:31.961331,2025-06-18 12:29:55.388628
907cbadd-8d02-4682-b4ed-200c7162b2b2,High Spending Engineer in Crypto Wallet,Rule to detect high spending engineer in crypto wallet,t.occupation = 'Engineer' AND t.origination = 'Crypto Wallet' AND uts.sum_30d > 200000,Medium,1.892,TRUE,2025-06-18 12:37:16.313515,2025-06-18 12:29:55.388629
beba71cb-04c0-4f88-a13d-1bb01b7b0dc2,Frequent ATM Transactions by Seniors,Rule to detect frequent atm transactions by seniors,t.occupation = 'Engineer' AND t.age > 60 AND t.origination = 'ATM' AND uts.trans_count_30d > 50,Medium,0.369,TRUE,2025-06-18 12:37:16.313911,2025-06-18 12:29:55.388630
e7386211-c782-4640-9773-ebfc8fdf52be,Low Avg but High Count for Teachers,Rule to detect low avg but high count for teachers,t.occupation = 'Teacher' AND uts.avg_15d < 1000 AND uts.trans_count_15d > 80,High,1.43,TRUE,2025-06-18 12:37:16.314191,2025-06-18 12:29:55.388631
4a15d797-ee88-4b2f-b0e3-996c288878a8,Branch Origination High Avg,Rule to detect branch origination high avg,t.origination = 'Branch' AND uts.avg_60d > 5000,High,1.347,TRUE,2025-06-18 12:37:16.314363,2025-06-18 12:29:55.388632
ddf7b06c-3d30-4684-9746-639cf97990af,Online Origination with Low Balance and High Sum,Rule to detect online origination with low balance and high sum,t.origination = 'Online' AND t.balance < 500 AND uts.sum_30d > 150000,High,1.439,TRUE,2025-06-18 12:37:16.314492,2025-06-18 12:29:55.388633
0d9156b6-c74b-4dfb-bee9-f82a504044da,International Transfers by Artists with High Sum,Rule to detect international transfers by artists with high sum,t.occupation = 'Artist' AND t.origination = 'International' AND uts.sum_60d > 300000,Medium,0.563,TRUE,2025-06-18 12:37:16.314651,2025-06-18 12:29:55.388634
402ae868-176e-44d3-b707-388b78f6bca3,SWIFT Origination High Count Low Avg,Rule to detect swift origination high count low avg,t.origination = 'SWIFT' AND uts.trans_count_30d > 70 AND uts.avg_30d < 1500,High,1.41,TRUE,2025-06-18 12:37:16.314845,2025-06-18 12:29:55.388635
83f3e20d-29fb-4c7f-8b18-ed84197c7bc4,Mobile Origination with High Avg and Count,Rule to detect mobile origination with high avg and count,t.origination = 'Mobile' AND uts.avg_15d > 4000 AND uts.trans_count_15d > 40,Low,1.266,TRUE,2025-06-18 12:37:16.315195,2025-06-18 12:29:55.388636
4a744065-dbae-4e2c-8666-c84065e45f84,Frequent POS Transactions by Lawyers,Rule to detect frequent pos transactions by lawyers,t.occupation = 'Lawyer' AND t.origination = 'POS' AND uts.trans_count_30d > 60,Low,0.486,TRUE,2025-06-18 12:37:16.315608,2025-06-18 12:29:55.388637
4fc8a543-3d67-4c81-82b5-d29773c0996c,ACH Origination High Sum Low Avg,Rule to detect ach origination high sum low avg,t.origination = 'ACH' AND uts.sum_90d > 350000 AND uts.avg_90d < 2000,Low,0.953,TRUE,2025-06-18 12:37:16.315948,2025-06-18 12:29:55.388638
3f0d59b1-6df9-4e47-85c6-5e287cc8b74f,High Crypto and Night Activity,High crypto usage and night transactions,uts.crypto_txn_ratio_30 > 0.3 AND uts.night_txn_ratio_30 > 0.5 AND uts.trans_count_30d > 10,High,0.12,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
af35a5d4-1c7c-4a99-bc16-29a3f7f8f20a,Frequent High Value Txns,More than 5 High value transactions in last 90 days,uts.high_value_txn_count_90 >= 5 AND t.trans_amt > 100000,Medium,0.14,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
ea16c418-bae1-4a1f-81f4-1c85b21d1670,Recent KYC with High Spend,KYC done recently and spent over 100K in last 15 days,uts.kyc_age_days < 30 AND uts.sum_15d > 100000 AND t.age < 25,High,0.2,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
87a4904b-6c10-4e86-9507-f7f5ef8411fd,Geo Diverse Activity,Transactions from more than 3 countries,uts.geo_diversity_score > 3 AND t.cross_border = TRUE,Medium,0.11,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
3b2c57ed-b50f-4535-9f6f-fb15a94c4d70,Smurfing Pattern,Frequent low-value transactions below reporting threshold,uts.txn_below_threshold_7 >= 10 AND t.trans_amt < 10000,High,0.21,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
c29fc1a0-e203-4c61-9b2e-d159b157bb6c,Unusual Weekday Activity,Almost all transactions on weekdays,uts.weekday_txn_ratio > 0.95 AND t.trans_time::time BETWEEN '09:00:00' AND '17:00:00',Low,0.23,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
a30ea56d-3302-49ff-88e0-d82012168b8d,High Burst Activity,More than 8 transactions in 24 hours,uts.burst_txn_count_24h >= 8 AND t.new_trans = TRUE,Medium,0.08,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
f6b52c95-c0ae-4b6e-beb8-7f7bdb5d836e,Long Inactivity Then Spike,No transactions for long then High count,uts.days_since_last_txn > 30 AND uts.trans_count_15d > 5,High,0.2,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
bf80ec1a-9362-438e-84e4-d20cb73c2372,Low Avg Value But High Volume,Small average txns but High count,uts.avg_30d < 500 AND uts.trans_count_30d > 30,Low,0.1,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
dc9b33d5-9b9e-4387-9de2-68705374c295,Crypto and High Value Combo,High crypto and High value txn count,uts.crypto_txn_ratio_30 > 0.2 AND uts.High_value_txn_count_90 > 3,High,0.25,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
e6e5c514-9f4a-47aa-94be-4c28729dd9bc,Inactivity Spike,Very High inactivity period,uts.days_since_last_txn > 90,Low,0.19,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
4c61c843-2fa1-4c3a-b5cd-76131593dce2,Large Txn Increase,Significant change in transaction amount,uts.large_txn_change_ratio > 1.5 AND t.balance > 500000,Medium,0.16,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
94a8458c-80c9-4b79-b94f-82f26800ac1d,High Risk New User,Young user with risky pattern,t.age < 21 AND uts.crypto_txn_ratio_30 > 0.25 AND t.pep_status = TRUE,High,0.13,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
